Sample in Buffer,Sample in Window,TRIGGER,sc_interrupt_sys/inst[31:0],sc_interrupt_sys/pc[31:0],sc_interrupt_sys/SI_ClkIn,sc_interrupt_sys/SI_Reset_N,sc_interrupt_sys/lock,sc_interrupt_sys/counter[26:0],sc_interrupt_sys/IO_Switch[15:0],sc_interrupt_sys/IO_LED[15:0],sc_interrupt_sys/dbg_imem_cs,sc_interrupt_sys/dbg_imem_we,sc_interrupt_sys/dbg_imem_addr[31:0],sc_interrupt_sys/dbg_imem_din[31:0],sc_interrupt_sys/dbg_dmem_cs,sc_interrupt_sys/dbg_dmem_we,sc_interrupt_sys/dbg_dmem_addr[31:0],sc_interrupt_sys/dbg_dmem_din[31:0],sc_interrupt_sys/dbg_halt_cpu,sc_interrupt_sys/IO_7SEGEN_N[7:0],sc_interrupt_sys/IO_7SEG_N[6:0],sc_interrupt_sys/intr
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
46,46,0,01c383b3,00000014,1,1,1,323af53,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
47,47,0,01c383b3,00000014,0,1,1,323af53,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
48,48,0,0003a383,00000018,1,1,1,323af54,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
49,49,0,0003a383,00000018,0,1,1,323af54,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
50,50,0,00038067,0000001c,1,1,1,323af55,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
51,51,0,00038067,0000001c,0,1,1,323af55,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
52,52,0,00000013,00000024,1,1,1,323af56,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
53,53,0,00000013,00000024,0,1,1,323af56,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
54,54,0,30200073,00000028,1,1,1,323af57,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
55,55,0,30200073,00000028,0,1,1,323af57,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
56,56,0,00552823,000000fc,1,1,1,323af58,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
57,57,0,00552823,000000fc,0,1,1,323af58,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
58,58,0,34202373,00000008,1,1,1,323af59,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
59,59,0,34202373,00000008,0,1,1,323af59,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
60,60,0,00f37393,0000000c,1,1,1,323af5a,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
61,61,0,00f37393,0000000c,0,1,1,323af5a,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
62,62,0,02000e13,00000010,1,1,1,323af5b,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
63,63,0,02000e13,00000010,0,1,1,323af5b,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
64,64,0,01c383b3,00000014,1,1,1,323af5c,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
65,65,0,01c383b3,00000014,0,1,1,323af5c,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
