Sample in Buffer,Sample in Window,TRIGGER,cpu/inst[31:0],cpu/pc[31:0],cpu/clk,cpu/SI_Reset_N,cpu/lock,cpu/counter[26:0],cpu/IO_Switch[15:0],cpu/IO_LED[15:0],cpu/dbg_resetn_cpu,cpu/dbg_imem_we,cpu/dbg_imem_addr[31:0],cpu/dbg_imem_din[31:0],cpu/dbg_dmem_ce,cpu/wpcir,cpu/dbg_dmem_addr[31:0],cpu/dbg_dmem_din[31:0],cpu/dbg_halt_cpu,cpu/IO_7SEGEN_N[7:0],cpu/IO_7SEG_N[6:0],cpu/npc[31:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
383,383,0,0005a283,0000001c,1,1,1,0bc0226,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000020
384,384,0,0005a283,0000001c,0,1,1,0bc0226,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000020
385,385,0,00552023,00000020,1,1,1,0bc0227,0000,0000,1,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,00000024
386,386,0,00552023,00000020,0,1,1,0bc0227,0000,0000,1,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,00000024
387,387,0,00552023,00000020,1,1,1,0bc0228,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000024
388,388,0,00552023,00000020,0,1,1,0bc0228,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000024
389,389,0,00552823,00000024,1,1,1,0bc0229,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000028
390,390,0,00552823,00000024,0,1,1,0bc0229,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000028
391,391,0,ff5ff06f,00000028,1,1,1,0bc022a,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000018
392,392,0,ff5ff06f,00000028,0,1,1,0bc022a,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000018
393,393,0,00000000,00000018,1,1,1,0bc022b,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,0000001c
394,394,0,00000000,00000018,0,1,1,0bc022b,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,0000001c
395,395,0,0005a283,0000001c,1,1,1,0bc022c,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000020
396,396,0,0005a283,0000001c,0,1,1,0bc022c,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000020
397,397,0,00552023,00000020,1,1,1,0bc022d,0000,0000,1,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,00000024
398,398,0,00552023,00000020,0,1,1,0bc022d,0000,0000,1,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,00000024
399,399,0,00552023,00000020,1,1,1,0bc022e,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000024
400,400,0,00552023,00000020,0,1,1,0bc022e,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000024
401,401,0,00552823,00000024,1,1,1,0bc022f,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000028
402,402,0,00552823,00000024,0,1,1,0bc022f,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000028
403,403,0,ff5ff06f,00000028,1,1,1,0bc0230,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000018
404,404,0,ff5ff06f,00000028,0,1,1,0bc0230,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000018
405,405,0,00000000,00000018,1,1,1,0bc0231,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,0000001c
406,406,0,00000000,00000018,0,1,1,0bc0231,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,0000001c
407,407,0,0005a283,0000001c,1,1,1,0bc0232,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000020
408,408,0,0005a283,0000001c,0,1,1,0bc0232,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000020
409,409,0,00552023,00000020,1,1,1,0bc0233,0000,0000,1,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,00000024
410,410,0,00552023,00000020,0,1,1,0bc0233,0000,0000,1,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,00000024
411,411,0,00552023,00000020,1,1,1,0bc0234,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000024
412,412,0,00552023,00000020,0,1,1,0bc0234,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000024
413,413,0,00552823,00000024,1,1,1,0bc0235,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000028
414,414,0,00552823,00000024,0,1,1,0bc0235,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000028
415,415,0,ff5ff06f,00000028,1,1,1,0bc0236,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000018
416,416,0,ff5ff06f,00000028,0,1,1,0bc0236,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000018
417,417,0,00000000,00000018,1,1,1,0bc0237,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,0000001c
418,418,0,00000000,00000018,0,1,1,0bc0237,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,0000001c
419,419,0,0005a283,0000001c,1,1,1,0bc0238,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000020
420,420,0,0005a283,0000001c,0,1,1,0bc0238,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000020
421,421,0,00552023,00000020,1,1,1,0bc0239,0000,0000,1,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,00000024
422,422,0,00552023,00000020,0,1,1,0bc0239,0000,0000,1,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,00000024
423,423,0,00552023,00000020,1,1,1,0bc023a,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000024
424,424,0,00552023,00000020,0,1,1,0bc023a,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000024
425,425,0,00552823,00000024,1,1,1,0bc023b,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000028
426,426,0,00552823,00000024,0,1,1,0bc023b,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000028
427,427,0,ff5ff06f,00000028,1,1,1,0bc023c,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000018
428,428,0,ff5ff06f,00000028,0,1,1,0bc023c,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000018
429,429,0,00000000,00000018,1,1,1,0bc023d,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,0000001c
430,430,0,00000000,00000018,0,1,1,0bc023d,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,0000001c
431,431,0,0005a283,0000001c,1,1,1,0bc023e,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000020
432,432,0,0005a283,0000001c,0,1,1,0bc023e,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000020
433,433,0,00552023,00000020,1,1,1,0bc023f,0000,0000,1,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,00000024
434,434,0,00552023,00000020,0,1,1,0bc023f,0000,0000,1,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,00000024
435,435,0,00552023,00000020,1,1,1,0bc0240,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000024
436,436,0,00552023,00000020,0,1,1,0bc0240,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000024
437,437,0,00552823,00000024,1,1,1,0bc0241,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000028
438,438,0,00552823,00000024,0,1,1,0bc0241,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000028
439,439,0,ff5ff06f,00000028,1,1,1,0bc0242,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000018
440,440,0,ff5ff06f,00000028,0,1,1,0bc0242,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000018
441,441,0,00000000,00000018,1,1,1,0bc0243,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,0000001c
442,442,0,00000000,00000018,0,1,1,0bc0243,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,0000001c
443,443,0,0005a283,0000001c,1,1,1,0bc0244,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000020
444,444,0,0005a283,0000001c,0,1,1,0bc0244,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000020
445,445,0,00552023,00000020,1,1,1,0bc0245,0000,0000,1,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,00000024
446,446,0,00552023,00000020,0,1,1,0bc0245,0000,0000,1,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,00000024
447,447,0,00552023,00000020,1,1,1,0bc0246,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000024
448,448,0,00552023,00000020,0,1,1,0bc0246,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000024
449,449,0,00552823,00000024,1,1,1,0bc0247,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000028
450,450,0,00552823,00000024,0,1,1,0bc0247,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000028
451,451,0,ff5ff06f,00000028,1,1,1,0bc0248,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000018
452,452,0,ff5ff06f,00000028,0,1,1,0bc0248,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000018
453,453,0,00000000,00000018,1,1,1,0bc0249,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,0000001c
454,454,0,00000000,00000018,0,1,1,0bc0249,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,0000001c
455,455,0,0005a283,0000001c,1,1,1,0bc024a,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000020
456,456,0,0005a283,0000001c,0,1,1,0bc024a,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000020
457,457,0,00552023,00000020,1,1,1,0bc024b,0000,0000,1,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,00000024
458,458,0,00552023,00000020,0,1,1,0bc024b,0000,0000,1,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,00000024
459,459,0,00552023,00000020,1,1,1,0bc024c,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000024
460,460,0,00552023,00000020,0,1,1,0bc024c,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000024
461,461,0,00552823,00000024,1,1,1,0bc024d,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000028
462,462,0,00552823,00000024,0,1,1,0bc024d,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000028
463,463,0,ff5ff06f,00000028,1,1,1,0bc024e,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000018
464,464,0,ff5ff06f,00000028,0,1,1,0bc024e,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000018
465,465,0,00000000,00000018,1,1,1,0bc024f,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,0000001c
466,466,0,00000000,00000018,0,1,1,0bc024f,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,0000001c
467,467,0,0005a283,0000001c,1,1,1,0bc0250,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000020
468,468,0,0005a283,0000001c,0,1,1,0bc0250,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000020
469,469,0,00552023,00000020,1,1,1,0bc0251,0000,0000,1,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,00000024
470,470,0,00552023,00000020,0,1,1,0bc0251,0000,0000,1,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,00000024
471,471,0,00552023,00000020,1,1,1,0bc0252,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000024
472,472,0,00552023,00000020,0,1,1,0bc0252,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000024
473,473,0,00552823,00000024,1,1,1,0bc0253,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000028
474,474,0,00552823,00000024,0,1,1,0bc0253,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000028
475,475,0,ff5ff06f,00000028,1,1,1,0bc0254,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000018
476,476,0,ff5ff06f,00000028,0,1,1,0bc0254,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000018
477,477,0,00000000,00000018,1,1,1,0bc0255,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,0000001c
478,478,0,00000000,00000018,0,1,1,0bc0255,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,0000001c
479,479,0,0005a283,0000001c,1,1,1,0bc0256,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000020
480,480,0,0005a283,0000001c,0,1,1,0bc0256,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000020
481,481,0,00552023,00000020,1,1,1,0bc0257,0000,0000,1,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,00000024
482,482,0,00552023,00000020,0,1,1,0bc0257,0000,0000,1,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,00000024
483,483,0,00552023,00000020,1,1,1,0bc0258,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000024
484,484,0,00552023,00000020,0,1,1,0bc0258,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000024
485,485,0,00552823,00000024,1,1,1,0bc0259,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000028
486,486,0,00552823,00000024,0,1,1,0bc0259,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000028
487,487,0,ff5ff06f,00000028,1,1,1,0bc025a,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000018
488,488,0,ff5ff06f,00000028,0,1,1,0bc025a,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000018
489,489,0,00000000,00000018,1,1,1,0bc025b,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,0000001c
490,490,0,00000000,00000018,0,1,1,0bc025b,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,0000001c
491,491,0,0005a283,0000001c,1,1,1,0bc025c,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000020
492,492,0,0005a283,0000001c,0,1,1,0bc025c,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000020
493,493,0,00552023,00000020,1,1,1,0bc025d,0000,0000,1,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,00000024
494,494,0,00552023,00000020,0,1,1,0bc025d,0000,0000,1,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,00000024
495,495,0,00552023,00000020,1,1,1,0bc025e,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000024
496,496,0,00552023,00000020,0,1,1,0bc025e,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000024
497,497,0,00552823,00000024,1,1,1,0bc025f,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000028
498,498,0,00552823,00000024,0,1,1,0bc025f,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000028
499,499,0,ff5ff06f,00000028,1,1,1,0bc0260,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000018
500,500,0,ff5ff06f,00000028,0,1,1,0bc0260,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000018
501,501,0,00000000,00000018,1,1,1,0bc0261,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,0000001c
502,502,0,00000000,00000018,0,1,1,0bc0261,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,0000001c
503,503,0,0005a283,0000001c,1,1,1,0bc0262,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000020
504,504,0,0005a283,0000001c,0,1,1,0bc0262,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000020
505,505,0,00552023,00000020,1,1,1,0bc0263,0000,0000,1,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,00000024
506,506,0,00552023,00000020,0,1,1,0bc0263,0000,0000,1,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,00000024
507,507,0,00552023,00000020,1,1,1,0bc0264,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000024
508,508,0,00552023,00000020,0,1,1,0bc0264,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000024
509,509,0,00552823,00000024,1,1,1,0bc0265,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000028
510,510,0,00552823,00000024,0,1,1,0bc0265,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000028
511,511,0,ff5ff06f,00000028,1,1,1,0bc0266,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000018
512,512,1,ff5ff06f,00000028,0,1,1,0bc0266,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000018
513,513,0,00000000,00000018,1,1,1,0bc0267,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,0000001c
514,514,0,00000000,00000018,0,1,1,0bc0267,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,0000001c
515,515,0,0005a283,0000001c,1,1,1,0bc0268,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000020
516,516,0,0005a283,0000001c,0,1,1,0bc0268,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000020
517,517,0,00552023,00000020,1,1,1,0bc0269,0000,0000,1,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,00000024
518,518,0,00552023,00000020,0,1,1,0bc0269,0000,0000,1,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,00000024
519,519,0,00552023,00000020,1,1,1,0bc026a,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000024
520,520,0,00552023,00000020,0,1,1,0bc026a,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000024
521,521,0,00552823,00000024,1,1,1,0bc026b,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000028
522,522,0,00552823,00000024,0,1,1,0bc026b,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000028
523,523,0,ff5ff06f,00000028,1,1,1,0bc026c,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000018
524,524,0,ff5ff06f,00000028,0,1,1,0bc026c,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000018
525,525,0,00000000,00000018,1,1,1,0bc026d,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,0000001c
526,526,0,00000000,00000018,0,1,1,0bc026d,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,0000001c
527,527,0,0005a283,0000001c,1,1,1,0bc026e,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000020
528,528,0,0005a283,0000001c,0,1,1,0bc026e,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000020
529,529,0,00552023,00000020,1,1,1,0bc026f,0000,0000,1,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,00000024
530,530,0,00552023,00000020,0,1,1,0bc026f,0000,0000,1,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,00000024
531,531,0,00552023,00000020,1,1,1,0bc0270,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000024
532,532,0,00552023,00000020,0,1,1,0bc0270,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000024
533,533,0,00552823,00000024,1,1,1,0bc0271,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000028
534,534,0,00552823,00000024,0,1,1,0bc0271,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000028
535,535,0,ff5ff06f,00000028,1,1,1,0bc0272,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000018
536,536,0,ff5ff06f,00000028,0,1,1,0bc0272,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000018
537,537,0,00000000,00000018,1,1,1,0bc0273,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,0000001c
538,538,0,00000000,00000018,0,1,1,0bc0273,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,0000001c
539,539,0,0005a283,0000001c,1,1,1,0bc0274,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000020
540,540,0,0005a283,0000001c,0,1,1,0bc0274,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000020
541,541,0,00552023,00000020,1,1,1,0bc0275,0000,0000,1,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,00000024
542,542,0,00552023,00000020,0,1,1,0bc0275,0000,0000,1,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,00000024
543,543,0,00552023,00000020,1,1,1,0bc0276,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000024
544,544,0,00552023,00000020,0,1,1,0bc0276,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000024
545,545,0,00552823,00000024,1,1,1,0bc0277,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000028
546,546,0,00552823,00000024,0,1,1,0bc0277,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000028
547,547,0,ff5ff06f,00000028,1,1,1,0bc0278,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000018
548,548,0,ff5ff06f,00000028,0,1,1,0bc0278,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000018
549,549,0,00000000,00000018,1,1,1,0bc0279,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,0000001c
550,550,0,00000000,00000018,0,1,1,0bc0279,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,0000001c
551,551,0,0005a283,0000001c,1,1,1,0bc027a,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000020
552,552,0,0005a283,0000001c,0,1,1,0bc027a,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000020
553,553,0,00552023,00000020,1,1,1,0bc027b,0000,0000,1,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,00000024
554,554,0,00552023,00000020,0,1,1,0bc027b,0000,0000,1,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,00000024
555,555,0,00552023,00000020,1,1,1,0bc027c,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000024
556,556,0,00552023,00000020,0,1,1,0bc027c,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000024
557,557,0,00552823,00000024,1,1,1,0bc027d,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000028
558,558,0,00552823,00000024,0,1,1,0bc027d,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000028
559,559,0,ff5ff06f,00000028,1,1,1,0bc027e,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000018
560,560,0,ff5ff06f,00000028,0,1,1,0bc027e,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000018
561,561,0,00000000,00000018,1,1,1,0bc027f,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,0000001c
562,562,0,00000000,00000018,0,1,1,0bc027f,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,0000001c
563,563,0,0005a283,0000001c,1,1,1,0bc0280,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000020
564,564,0,0005a283,0000001c,0,1,1,0bc0280,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000020
565,565,0,00552023,00000020,1,1,1,0bc0281,0000,0000,1,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,00000024
566,566,0,00552023,00000020,0,1,1,0bc0281,0000,0000,1,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,00000024
567,567,0,00552023,00000020,1,1,1,0bc0282,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000024
568,568,0,00552023,00000020,0,1,1,0bc0282,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000024
569,569,0,00552823,00000024,1,1,1,0bc0283,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000028
570,570,0,00552823,00000024,0,1,1,0bc0283,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000028
571,571,0,ff5ff06f,00000028,1,1,1,0bc0284,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000018
572,572,0,ff5ff06f,00000028,0,1,1,0bc0284,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000018
573,573,0,00000000,00000018,1,1,1,0bc0285,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,0000001c
574,574,0,00000000,00000018,0,1,1,0bc0285,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,0000001c
575,575,0,0005a283,0000001c,1,1,1,0bc0286,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000020
576,576,0,0005a283,0000001c,0,1,1,0bc0286,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000020
577,577,0,00552023,00000020,1,1,1,0bc0287,0000,0000,1,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,00000024
578,578,0,00552023,00000020,0,1,1,0bc0287,0000,0000,1,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,00000024
579,579,0,00552023,00000020,1,1,1,0bc0288,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000024
580,580,0,00552023,00000020,0,1,1,0bc0288,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000024
581,581,0,00552823,00000024,1,1,1,0bc0289,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000028
