Sample in Buffer,Sample in Window,TRIGGER,cpu/inst[31:0],cpu/pc[31:0],cpu/clk,cpu/SI_Reset_N,cpu/lock,cpu/counter[26:0],cpu/IO_Switch[15:0],cpu/IO_LED[15:0],cpu/dbg_resetn_cpu,cpu/dbg_imem_we,cpu/dbg_imem_addr[31:0],cpu/dbg_imem_din[31:0],cpu/dbg_dmem_ce,cpu/wpcir,cpu/dbg_dmem_addr[31:0],cpu/dbg_dmem_din[31:0],cpu/dbg_halt_cpu,cpu/IO_7SEGEN_N[7:0],cpu/IO_7SEG_N[6:0],cpu/npc[31:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
46,46,0,00000000,00000018,0,1,1,0bc017d,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,0000001c
47,47,0,0005a283,0000001c,1,1,1,0bc017e,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000020
48,48,0,0005a283,0000001c,0,1,1,0bc017e,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000020
49,49,0,00552023,00000020,1,1,1,0bc017f,0000,0000,1,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,00000024
50,50,0,00552023,00000020,0,1,1,0bc017f,0000,0000,1,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,00000024
51,51,0,00552023,00000020,1,1,1,0bc0180,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000024
52,52,0,00552023,00000020,0,1,1,0bc0180,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000024
53,53,0,00552823,00000024,1,1,1,0bc0181,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000028
54,54,0,00552823,00000024,0,1,1,0bc0181,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000028
55,55,0,ff5ff06f,00000028,1,1,1,0bc0182,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000018
56,56,0,ff5ff06f,00000028,0,1,1,0bc0182,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000018
57,57,0,00000000,00000018,1,1,1,0bc0183,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,0000001c
58,58,0,00000000,00000018,0,1,1,0bc0183,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,0000001c
59,59,0,0005a283,0000001c,1,1,1,0bc0184,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000020
60,60,0,0005a283,0000001c,0,1,1,0bc0184,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000020
61,61,0,00552023,00000020,1,1,1,0bc0185,0000,0000,1,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,00000024
62,62,0,00552023,00000020,0,1,1,0bc0185,0000,0000,1,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,00000024
63,63,0,00552023,00000020,1,1,1,0bc0186,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000024
64,64,0,00552023,00000020,0,1,1,0bc0186,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000024
65,65,0,00552823,00000024,1,1,1,0bc0187,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000028
66,66,0,00552823,00000024,0,1,1,0bc0187,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000028
67,67,0,ff5ff06f,00000028,1,1,1,0bc0188,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000018
68,68,0,ff5ff06f,00000028,0,1,1,0bc0188,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000018
69,69,0,00000000,00000018,1,1,1,0bc0189,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,0000001c
70,70,0,00000000,00000018,0,1,1,0bc0189,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,0000001c
71,71,0,0005a283,0000001c,1,1,1,0bc018a,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000020
72,72,0,0005a283,0000001c,0,1,1,0bc018a,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000020
73,73,0,00552023,00000020,1,1,1,0bc018b,0000,0000,1,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,00000024
74,74,0,00552023,00000020,0,1,1,0bc018b,0000,0000,1,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,00000024
75,75,0,00552023,00000020,1,1,1,0bc018c,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000024
76,76,0,00552023,00000020,0,1,1,0bc018c,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000024
77,77,0,00552823,00000024,1,1,1,0bc018d,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000028
78,78,0,00552823,00000024,0,1,1,0bc018d,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000028
79,79,0,ff5ff06f,00000028,1,1,1,0bc018e,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000018
80,80,0,ff5ff06f,00000028,0,1,1,0bc018e,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000018
81,81,0,00000000,00000018,1,1,1,0bc018f,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,0000001c
82,82,0,00000000,00000018,0,1,1,0bc018f,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,0000001c
83,83,0,0005a283,0000001c,1,1,1,0bc0190,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000020
84,84,0,0005a283,0000001c,0,1,1,0bc0190,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000020
85,85,0,00552023,00000020,1,1,1,0bc0191,0000,0000,1,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,00000024
86,86,0,00552023,00000020,0,1,1,0bc0191,0000,0000,1,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,00000024
87,87,0,00552023,00000020,1,1,1,0bc0192,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000024
88,88,0,00552023,00000020,0,1,1,0bc0192,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000024
89,89,0,00552823,00000024,1,1,1,0bc0193,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000028
90,90,0,00552823,00000024,0,1,1,0bc0193,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000028
91,91,0,ff5ff06f,00000028,1,1,1,0bc0194,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000018
92,92,0,ff5ff06f,00000028,0,1,1,0bc0194,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000018
93,93,0,00000000,00000018,1,1,1,0bc0195,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,0000001c
94,94,0,00000000,00000018,0,1,1,0bc0195,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,0000001c
95,95,0,0005a283,0000001c,1,1,1,0bc0196,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000020
96,96,0,0005a283,0000001c,0,1,1,0bc0196,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000020
97,97,0,00552023,00000020,1,1,1,0bc0197,0000,0000,1,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,00000024
98,98,0,00552023,00000020,0,1,1,0bc0197,0000,0000,1,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,00000024
99,99,0,00552023,00000020,1,1,1,0bc0198,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000024
100,100,0,00552023,00000020,0,1,1,0bc0198,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000024
101,101,0,00552823,00000024,1,1,1,0bc0199,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000028
102,102,0,00552823,00000024,0,1,1,0bc0199,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000028
103,103,0,ff5ff06f,00000028,1,1,1,0bc019a,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000018
104,104,0,ff5ff06f,00000028,0,1,1,0bc019a,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000018
105,105,0,00000000,00000018,1,1,1,0bc019b,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,0000001c
106,106,0,00000000,00000018,0,1,1,0bc019b,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,0000001c
107,107,0,0005a283,0000001c,1,1,1,0bc019c,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000020
108,108,0,0005a283,0000001c,0,1,1,0bc019c,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000020
109,109,0,00552023,00000020,1,1,1,0bc019d,0000,0000,1,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,00000024
110,110,0,00552023,00000020,0,1,1,0bc019d,0000,0000,1,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,00000024
111,111,0,00552023,00000020,1,1,1,0bc019e,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000024
112,112,0,00552023,00000020,0,1,1,0bc019e,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000024
113,113,0,00552823,00000024,1,1,1,0bc019f,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000028
114,114,0,00552823,00000024,0,1,1,0bc019f,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000028
115,115,0,ff5ff06f,00000028,1,1,1,0bc01a0,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000018
116,116,0,ff5ff06f,00000028,0,1,1,0bc01a0,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000018
117,117,0,00000000,00000018,1,1,1,0bc01a1,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,0000001c
118,118,0,00000000,00000018,0,1,1,0bc01a1,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,0000001c
119,119,0,0005a283,0000001c,1,1,1,0bc01a2,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000020
120,120,0,0005a283,0000001c,0,1,1,0bc01a2,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000020
121,121,0,00552023,00000020,1,1,1,0bc01a3,0000,0000,1,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,00000024
122,122,0,00552023,00000020,0,1,1,0bc01a3,0000,0000,1,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,00000024
123,123,0,00552023,00000020,1,1,1,0bc01a4,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000024
124,124,0,00552023,00000020,0,1,1,0bc01a4,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000024
125,125,0,00552823,00000024,1,1,1,0bc01a5,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000028
126,126,0,00552823,00000024,0,1,1,0bc01a5,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000028
127,127,0,ff5ff06f,00000028,1,1,1,0bc01a6,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000018
128,128,0,ff5ff06f,00000028,0,1,1,0bc01a6,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000018
129,129,0,00000000,00000018,1,1,1,0bc01a7,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,0000001c
130,130,0,00000000,00000018,0,1,1,0bc01a7,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,0000001c
131,131,0,0005a283,0000001c,1,1,1,0bc01a8,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000020
132,132,0,0005a283,0000001c,0,1,1,0bc01a8,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000020
133,133,0,00552023,00000020,1,1,1,0bc01a9,0000,0000,1,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,00000024
134,134,0,00552023,00000020,0,1,1,0bc01a9,0000,0000,1,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,00000024
135,135,0,00552023,00000020,1,1,1,0bc01aa,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000024
136,136,0,00552023,00000020,0,1,1,0bc01aa,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000024
137,137,0,00552823,00000024,1,1,1,0bc01ab,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000028
138,138,0,00552823,00000024,0,1,1,0bc01ab,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000028
139,139,0,ff5ff06f,00000028,1,1,1,0bc01ac,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000018
140,140,0,ff5ff06f,00000028,0,1,1,0bc01ac,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000018
141,141,0,00000000,00000018,1,1,1,0bc01ad,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,0000001c
142,142,0,00000000,00000018,0,1,1,0bc01ad,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,0000001c
143,143,0,0005a283,0000001c,1,1,1,0bc01ae,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000020
144,144,0,0005a283,0000001c,0,1,1,0bc01ae,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000020
145,145,0,00552023,00000020,1,1,1,0bc01af,0000,0000,1,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,00000024
146,146,0,00552023,00000020,0,1,1,0bc01af,0000,0000,1,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,00000024
147,147,0,00552023,00000020,1,1,1,0bc01b0,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000024
148,148,0,00552023,00000020,0,1,1,0bc01b0,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000024
149,149,0,00552823,00000024,1,1,1,0bc01b1,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000028
150,150,0,00552823,00000024,0,1,1,0bc01b1,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000028
151,151,0,ff5ff06f,00000028,1,1,1,0bc01b2,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000018
152,152,0,ff5ff06f,00000028,0,1,1,0bc01b2,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000018
153,153,0,00000000,00000018,1,1,1,0bc01b3,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,0000001c
154,154,0,00000000,00000018,0,1,1,0bc01b3,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,0000001c
155,155,0,0005a283,0000001c,1,1,1,0bc01b4,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000020
156,156,0,0005a283,0000001c,0,1,1,0bc01b4,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000020
157,157,0,00552023,00000020,1,1,1,0bc01b5,0000,0000,1,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,00000024
158,158,0,00552023,00000020,0,1,1,0bc01b5,0000,0000,1,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,00000024
159,159,0,00552023,00000020,1,1,1,0bc01b6,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000024
160,160,0,00552023,00000020,0,1,1,0bc01b6,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000024
161,161,0,00552823,00000024,1,1,1,0bc01b7,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000028
162,162,0,00552823,00000024,0,1,1,0bc01b7,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000028
163,163,0,ff5ff06f,00000028,1,1,1,0bc01b8,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000018
164,164,0,ff5ff06f,00000028,0,1,1,0bc01b8,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000018
165,165,0,00000000,00000018,1,1,1,0bc01b9,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,0000001c
166,166,0,00000000,00000018,0,1,1,0bc01b9,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,0000001c
167,167,0,0005a283,0000001c,1,1,1,0bc01ba,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000020
168,168,0,0005a283,0000001c,0,1,1,0bc01ba,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000020
169,169,0,00552023,00000020,1,1,1,0bc01bb,0000,0000,1,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,00000024
170,170,0,00552023,00000020,0,1,1,0bc01bb,0000,0000,1,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,00000024
171,171,0,00552023,00000020,1,1,1,0bc01bc,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000024
172,172,0,00552023,00000020,0,1,1,0bc01bc,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000024
173,173,0,00552823,00000024,1,1,1,0bc01bd,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000028
174,174,0,00552823,00000024,0,1,1,0bc01bd,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000028
175,175,0,ff5ff06f,00000028,1,1,1,0bc01be,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000018
176,176,0,ff5ff06f,00000028,0,1,1,0bc01be,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000018
177,177,0,00000000,00000018,1,1,1,0bc01bf,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,0000001c
178,178,0,00000000,00000018,0,1,1,0bc01bf,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,0000001c
179,179,0,0005a283,0000001c,1,1,1,0bc01c0,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000020
180,180,0,0005a283,0000001c,0,1,1,0bc01c0,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000020
181,181,0,00552023,00000020,1,1,1,0bc01c1,0000,0000,1,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,00000024
182,182,0,00552023,00000020,0,1,1,0bc01c1,0000,0000,1,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,00000024
183,183,0,00552023,00000020,1,1,1,0bc01c2,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000024
184,184,0,00552023,00000020,0,1,1,0bc01c2,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000024
185,185,0,00552823,00000024,1,1,1,0bc01c3,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000028
